cnpj;empresa;orgao;exercicio;maxima;media;minima;n_membros;n_membros_remunerados;total_orgao;fre_total_orgao;media_implicita;alertas;fre;data_referencia;versao;id_documento
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2016;4030794.85;2666405.44;2105113.2;5.0;5.0;13332027.22;2019;2666405.444;;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2017;4741732.2;3781682.21;2569293.16;4.17;4.17;15769614.8;2020;3781682.206235012;;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2018;5115624.38;3448141.25;2669319.58;4.67;4.67;16102819.64;2021;3448141.250535332;;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2019;10657267.76;6778916.73;5096917.51;5.0;5.0;33894583.67;2022;6778916.734;;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2020;10195693.73;5436302.55;3129153.78;4.67;4.67;22751667.49;2023;4871877.406852248;media != total/n_remunerados;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2021;9224750.31;5856216.54;4448562.73;4.0;4.0;23452647.39;2024;5863161.8475;;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2022;9358701.09;4034678.54;4460933.36;4.0;4.0;16138714.15;2025;4034678.5375;media fora do intervalo min-max;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2023;7336322.61;4996679.3;4227947.4;4.25;4.25;21235887.03;2026;4996679.301176471;;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2024;8492357.6;4889941.28;3202189.92;5.0;5.0;24310657.88;2026;4862131.575999999;;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2025;10129016.99;5344917.27;3402452.08;5.0;5.0;26818152.35;2026;5363630.470000001;;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2016;0.0;0.0;0.0;0.0;0.0;;;;;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2017;0.0;0.0;0.0;0.0;0.0;;;;;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2018;0.0;0.0;0.0;0.0;0.0;;;;;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2019;385666.66;752749.96;148333.3;1.25;1.0;752749.96;2022;752749.96;media fora do intervalo min-max;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2020;1496083.33;882993.33;575416.56;5.0;4.17;3150034.75;2023;755404.0167865708;media != total/n_remunerados;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2021;1753333.32;822000.01;500000.04;5.0;5.0;4110000.04;2024;822000.008;;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2022;2424000.0;830833.34;728000.02;5.0;5.0;4154166.7;2025;830833.3400000001;;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2023;660000.0;660000.0;660000.0;5.0;5.0;7563500.0;2026;1512700.0;media != total/n_remunerados;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2024;2160000.0;960000.0;660000.0;5.0;5.0;4800000.0;2026;960000.0;;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2025;2240000.0;1003200.0;684000.0;5.0;5.0;5016000.0;2026;1003200.0;;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2016;0.0;0.0;0.0;0.0;0.0;;;;;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2017;0.0;0.0;0.0;0.0;0.0;;;;;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2018;0.0;0.0;0.0;0.0;0.0;;;;;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2019;0.0;0.0;0.0;0.0;0.0;0.0;2022;;;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2020;0.0;0.0;0.0;0.0;0.0;0.0;2023;;;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2021;0.0;0.0;0.0;0.0;0.0;0.0;2023;;;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2022;100000.0;100000.0;100000.0;2.0;2.0;300000.0;2025;150000.0;media != total/n_remunerados;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2023;150000.0;150000.0;150000.0;3.0;3.0;472932.0;2026;157644.0;media != total/n_remunerados;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2024;55216.0;51738.67;50000.0;1.0;1.0;155216.0;2026;155216.0;media != total/n_remunerados;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2025;104000.0;104000.0;104000.0;3.0;3.0;312000.0;2026;104000.0;;2026;2026-12-31;3;159084
